Date,Mean Value
2023-09-09,13.805416666666668
2023-09-10,18.106666666666666
2023-09-14,19.2175
2023-09-16,24.4575
2023-09-17,16.60916666666667
2023-09-18,15.425000000000006
2023-09-19,41.172083333333326
2023-09-20,87.03833333333334
2023-09-21,60.53625
2023-09-22,76.94041666666666
2023-09-23,51.748749999999994
2023-09-24,18.77166666666667
2023-10-01,16.525833333333328
2023-10-02,20.757916666666667
2023-10-03,17.78391304347826
2023-10-09,14.471666666666666
2023-10-15,21.740833333333338
2023-10-19,13.980416666666668
2023-10-20,20.635833333333334
2023-10-24,26.42208333333333
2023-10-31,17.242499999999996
2023-11-01,25.46833333333333
2023-11-02,27.710000000000004
2023-11-03,28.561250000000005
2023-11-10,15.109583333333331
2023-11-11,15.964999999999998
2023-11-12,21.831250000000008
2023-11-15,19.86625
2023-11-16,16.817083333333333
2023-11-17,27.93166666666666
2023-11-22,22.814166666666665
2023-11-23,14.380833333333328
2023-11-27,19.908749999999998
2023-11-28,33.94916666666667
2023-11-29,27.342916666666667
2023-12-04,25.45875
2023-12-05,34.04333333333334
2023-12-06,43.54458333333332
2023-12-10,20.40041666666667
2023-12-11,23.533749999999994
2023-12-12,20.650833333333335
2023-12-13,32.38708333333334
2023-12-14,40.99333333333333
2023-12-15,53.31708333333333
2023-12-16,46.159166666666664
2023-12-17,43.76125000000001
2023-12-18,28.902916666666666
2023-12-21,14.217500000000001
2023-12-22,27.65291666666667
2023-12-24,25.534166666666664
2023-12-25,37.708333333333336
2023-12-26,31.0325
2023-12-27,29.522500000000004
2023-12-29,25.604166666666668
2024-01-01,31.212083333333336
2024-01-02,25.15125
2024-01-16,35.63708333333333
2024-01-17,17.141666666666666
2024-01-18,23.0125
2024-01-19,44.75958333333333
2024-01-29,32.978750000000005
2024-02-09,18.569166666666668
2024-02-12,34.15291666666667
2024-03-20,14.815833333333332
2024-04-01,13.94083333333333
2024-04-19,13.933749999999998
2024-04-24,18.129166666666666
2024-04-27,15.961249999999998
2024-05-21,15.530416666666666
2024-05-30,14.931249999999999
2024-05-31,13.865416666666667
2024-06-01,14.214583333333332
2024-06-06,16.62875
2024-06-07,17.752916666666664
2024-06-11,14.61458333333333
2024-06-12,14.869583333333336
2024-06-22,20.685416666666665
2024-07-05,22.114166666666662
2024-07-11,17.907083333333333
2024-07-12,16.439999999999998
2024-07-22,14.729583333333336
2024-07-25,16.957499999999996
2024-08-06,18.73166666666667
2024-08-07,21.505
2024-08-08,17.29875
2024-08-10,20.138749999999998
2024-08-11,14.841666666666669
2024-08-13,14.025
