Date,Max PM2.5,Min PM2.5,Avg PM2.5,Period
2023-11-30,14.71,4.41,10.434166666666668,Non-Wildfire
2023-12-01,27.13,1.08,3.973333333333333,Non-Wildfire
2023-12-02,4.51,1.25,3.1012500000000003,Non-Wildfire
2023-12-03,5.76,2.69,3.987083333333333,Non-Wildfire
2023-12-04,11.3,3.5,5.690416666666667,Non-Wildfire
2023-12-05,16.44,6.3,8.716666666666667,Non-Wildfire
2023-12-06,62.19,3.89,21.245416666666667,Non-Wildfire
2023-12-07,5.09,1.48,2.4320833333333334,Non-Wildfire
2023-12-08,35.63,0.77,5.112916666666667,Non-Wildfire
2023-12-09,6.12,0.6,2.935833333333333,Non-Wildfire
2023-12-10,28.34,2.54,10.832083333333335,Non-Wildfire
2023-12-11,30.45,4.65,11.775,Non-Wildfire
2023-12-12,34.3,6.06,11.222499999999998,Non-Wildfire
2023-12-13,14.11,6.32,9.739166666666668,Non-Wildfire
2023-12-14,65.12,14.96,28.999166666666667,Wildfire
2023-12-15,65.92,18.83,38.43625,Wildfire
2023-12-16,36.34,14.93,26.673333333333332,Wildfire
2023-12-17,35.83,17.95,23.807083333333335,Wildfire
2023-12-18,54.81,1.29,25.849999999999998,Wildfire
2023-12-19,2.16,0.6,1.2608333333333335,Wildfire
2023-12-20,2.05,0.35,1.1383333333333334,Wildfire
2023-12-21,22.76,2.6,9.779583333333333,Wildfire
2023-12-22,114.44,5.51,16.79125,Wildfire
2023-12-23,9.29,0.8,3.814583333333333,Wildfire
2023-12-24,82.48,1.35,7.8566666666666665,Wildfire
2023-12-25,26.54,6.6,17.01625,Wildfire
2023-12-26,58.31,21.51,31.06125,Wildfire
2023-12-27,62.45,1.1,33.43125,Wildfire
